Zeit [s]	Weg [mm]	Kraft [N]	Epsilon 0	Epsilon w	Sigma 0	Sigma w	Epsilon w Punkt	Temperatur [°C]	
0.24	2.9546998e-4	4.080	0	-3.8922959e-5	0	-0.198	-1.8551e-05	1099.97	
0.74	3.6588452e-4	10.200	0	-4.8198611e-5	0	-0.495	-1.1669e-05	1100.00	
1.24	3.8405601e-4	12.000	0	-5.0592319e-5	0	-0.582	1.2361e-05	1099.97	
1.74	2.7205232e-4	2.040	0	-3.5837953e-5	0	-0.099	3.4470e-04	1099.98	
2.24	-2.2320993e-3	-86.640	0	2.9410419e-4	0	4.201	9.9750e-04	1099.97	
2.74	-7.2962782e-3	-406.560	0	9.6166139e-4	0	19.700	1.2137e-03	1099.97	
3.24	-1.1437328e-2	-729.720	0	1.5078343e-3	0	35.341	6.7409e-04	1100.01	
3.74	-1.2406875e-2	-790.320	0	1.6357563e-3	0	38.272	1.6310e-04	1100.04	
4.24	-1.2673464e-2	-792.600	0	1.6709335e-3	0	38.381	6.2192e-05	1100.07	
4.74	-1.2878187e-2	-794.880	0	1.6979480e-3	0	38.490	4.2836e-05	1100.03	
5.24	-1.2998081e-2	-793.080	0	1.7137692e-3	0	38.402	3.2705e-05	1100.03	
5.74	-1.3126026e-2	-786.720	0	1.7306531e-3	0	38.094	3.1959e-05	1100.01	
6.24	-1.3240260e-2	-787.800	0	1.7457278e-3	0	38.145	2.5986e-05	1100.15	
6.74	-1.3322941e-2	-793.680	0	1.7566390e-3	0	38.430	1.5790e-05	1100.03	
7.99	-1.3449649e-2	-797.070	0	1.7733604e-3	0	38.593	1.3518e-05	1100.10	
9.99	-1.3655859e-2	-791.880	0	1.8005739e-3	0	38.341	1.0717e-05	1100.13	
11.99	-1.3774463e-2	-788.760	0	1.8162266e-3	0	38.189	9.8294e-06	1100.19	
15.49	-1.4065490e-2	-794.676	0	1.8546356e-3	0	38.474	9.4295e-06	1100.17	
22.99	-1.4560364e-2	-795.036	0	1.9199509e-3	0	38.489	6.0488e-06	1100.15	
32.99	-1.4867501e-2	-794.988	0	1.9604901e-3	0	38.485	3.3549e-06	1100.09	
52.99	-1.5322866e-2	-794.796	0	2.0205974e-3	0	38.474	2.5354e-06	1100.03	
82.99	-1.5827862e-2	-794.660	0	2.0872595e-3	0	38.464	1.4503e-06	1100.02	
127.99	-1.6146862e-2	-794.398	0	2.1293720e-3	0	38.450	9.4538e-07	1100.02	
187.99	-1.6579769e-2	-794.161	0	2.1865241e-3	0	38.436	9.5516e-07	1100.02	
277.99	-1.7232056e-2	-819.063	0	2.2726467e-3	0	39.638	7.2919e-07	1100.02	
397.99	-1.7739548e-2	-827.724	0	2.3396535e-3	0	40.055	5.5745e-07	1099.97	
532.99	-1.8308605e-2	-826.886	0	2.4147971e-3	0	40.011	3.1730e-07	1099.97	
743.11	-1.8568818e-2	-825.876	0	2.4491596e-3	0	39.961	2.4641e-07	1099.97	
1042.31	-1.9258920e-2	-824.702	0	2.5402977e-3	0	39.901	2.1985e-07	1099.91	
1342.31	-1.9566317e-2	-822.863	0	2.5808961e-3	0	39.810	7.1584e-08	1099.71	
1642.31	-1.9584121e-2	-821.959	0	2.5832480e-3	0	39.766	1.4781e-07	1099.63	
1942.31	-2.0237754e-2	-820.980	0	2.6695803e-3	0	39.715	1.7818e-07	1099.63	
2242.31	-2.0393546e-2	-819.694	0	2.6901587e-3	0	39.652	6.5608e-08	1099.62	
2542.31	-2.0535771e-2	-819.018	0	2.7089450e-3	0	39.619	1.6957e-07	1099.50	
2842.31	-2.1163733e-2	-818.579	0	2.7918978e-3	0	39.594	2.8808e-07	1099.31	
3142.31	-2.1844217e-2	-818.367	0	2.8817956e-3	0	39.580	1.7151e-07	1099.30	
3442.31	-2.1942692e-2	-817.829	0	2.8948064e-3	0	39.554	-9.4410e-08	1099.29	
3742.31	-2.1415442e-2	-817.150	0	2.8251496e-3	0	39.524	-4.2953e-08	1099.30	
4042.31	-2.1747627e-2	-815.946	0	2.8690348e-3	0	39.464	7.9157e-08	1099.63	
4401.51	-2.1810417e-2	-822.950	0	2.8773302e-3	0	39.802	1.1695e-08	1099.60	
4985.92	-2.1831159e-2	-821.722	0	2.8800706e-3	0	39.743	4.3275e-08	1099.31	
5585.92	-2.2198365e-2	-817.341	0	2.9285853e-3	0	39.529	1.0450e-07	1099.31	
6185.92	-2.2780248e-2	-815.334	0	3.0054672e-3	0	39.429	7.5450e-08	1099.29	
6785.92	-2.2883611e-2	-814.599	0	3.0191256e-3	0	39.393	-5.1895e-09	1099.29	
7385.92	-2.2733116e-2	-814.116	0	2.9992399e-3	0	39.370	4.8420e-08	1099.29	
8242.29	-2.3417273e-2	-814.554	0	3.0896428e-3	0	39.388	9.3087e-08	1099.29	
9440.59	-2.4180512e-2	-814.750	0	3.1905033e-3	0	39.393	4.7763e-08	1099.29	
10326.29	-2.4170508e-2	-814.224	0	3.1891814e-3	0	39.368	3.1194e-08	1099.30	
12416.38	-2.4882861e-2	-826.009	0	3.2833292e-3	0	39.934	4.4092e-08	1099.45	
16016.38	-2.6068685e-2	-827.761	0	3.4400684e-3	0	40.013	2.7422e-08	1099.99	
19616.38	-2.6376569e-2	-818.875	0	3.4807681e-3	0	39.581	5.2853e-09	1100.19	
23216.38	-2.6356554e-2	-813.990	0	3.4781223e-3	0	39.345	1.7756e-08	1100.67	
26816.38	-2.7343581e-2	-812.591	0	3.6086125e-3	0	39.273	3.2625e-08	1100.76	
30416.38	-2.8133262e-2	-797.908	0	3.7130200e-3	0	38.559	3.0698e-08	1100.65	
34016.38	-2.9015192e-2	-812.105	0	3.8296393e-3	0	39.240	3.1004e-08	1100.65	
37616.38	-2.9821335e-2	-812.091	0	3.9362510e-3	0	39.236	2.9173e-08	1100.67	
41216.38	-3.0603371e-2	-811.951	0	4.0396835e-3	0	39.225	2.8973e-08	1100.94	
44816.38	-3.1398477e-2	-812.080	0	4.1448560e-3	0	39.227	2.2097e-08	1100.98	
48416.38	-3.1806123e-2	-797.596	0	4.1987818e-3	0	38.525	1.7690e-08	1100.94	
52016.38	-3.2361270e-2	-797.072	0	4.2722255e-3	0	38.497	3.1666e-08	1100.95	
55616.38	-3.3529384e-2	-811.476	0	4.4267770e-3	0	39.187	2.4317e-08	1100.92	
59216.38	-3.3684564e-2	-783.338	0	4.4473106e-3	0	37.827	2.4746e-08	1100.95	
62816.38	-3.4875771e-2	-783.029	0	4.6049456e-3	0	37.806	2.6263e-08	1100.99	
66416.38	-3.5113478e-2	-798.201	0	4.6364046e-3	0	38.537	1.0474e-08	1101.13	
70016.38	-3.5445585e-2	-795.549	0	4.6803589e-3	0	38.408	1.6594e-08	1101.33	
73616.38	-3.6016149e-2	-807.940	0	4.7558783e-3	0	39.003	2.6346e-08	1101.12	
